USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
gusta,1597,0.0,0.0,230240,5632,?,Ssl,18:22,0:00,/usr/libexec/dconf-service
gusta,1621,0.0,0.0,314300,7296,?,Ssl,18:22,0:00,/usr/libexec/gvfsd
gusta,1634,0.0,0.0,459724,6400,?,Sl,18:22,0:00,/usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
gusta,1653,0.0,0.0,236172,7680,?,Sl,18:22,0:01,/usr/libexec/at-spi2-registryd --use-gnome-session
gusta,1656,0.0,0.1,389348,9344,?,Ssl,18:22,0:00,/usr/libexec/gvfs-udisks2-volume-monitor
gusta,1663,0.0,0.1,416216,13184,?,Sl,18:22,0:00,/usr/libexec/csd-printer
gusta,1666,0.0,0.0,310772,6272,?,Ssl,18:22,0:00,/usr/libexec/gvfs-gphoto2-volume-monitor
gusta,1676,0.0,0.0,309780,6016,?,Ssl,18:22,0:00,/usr/libexec/gvfs-goa-volume-monitor
gusta,1681,0.0,0.2,546804,18944,?,Sl,18:22,0:00,/usr/libexec/goa-daemon
gusta,1699,0.0,0.1,389136,8704,?,Sl,18:22,0:00,/usr/libexec/goa-identity-service
gusta,1707,0.0,0.4,619816,32748,?,Sl,18:22,0:00,cinnamon-launcher
colord,1708,0.0,0.1,320204,13252,?,Ssl,18:22,0:00,/usr/libexec/colord
gusta,1709,0.0,0.0,310404,6912,?,Ssl,18:22,0:00,/usr/libexec/gvfs-mtp-volume-monitor
gusta,1718,0.0,0.0,389384,7168,?,Ssl,18:22,0:00,/usr/libexec/gvfs-afc-volume-monitor
gusta,1746,5.7,2.5,4792240,205016,?,Sl,18:22,4:49,cinnamon --replace
gusta,1776,0.0,0.3,452788,23916,?,Sl,18:22,0:00,/usr/lib/x86_64-linux-gnu/xapps/xapp-sn-watcher
gusta,1792,0.0,0.6,805404,49660,?,Sl,18:22,0:00,/usr/libexec/evolution-data-server/evolution-alarm-notify
gusta,1793,0.0,0.0,384000,5888,?,Sl,18:22,0:00,/usr/libexec/geoclue-2.0/demos/agent
gusta,1795,0.0,0.2,376440,21120,?,Sl,18:22,0:00,/usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
gusta,1804,0.0,0.4,846456,35616,?,Sl,18:22,0:00,/usr/bin/nemo-desktop
gusta,1806,0.0,0.4,397716,32760,?,Sl,18:22,0:00,/usr/bin/python3 /usr/lib/nvidia-prime-applet/nvidia-prime
gusta,1807,0.0,0.4,632184,33232,?,Sl,18:22,0:00,/usr/bin/python3 /usr/bin/blueman-applet
gusta,1808,0.0,0.4,548052,38200,?,Sl,18:22,0:01,/usr/bin/nm-applet
gusta,1812,0.0,0.3,470464,30420,?,Sl,18:22,0:00,cinnamon-killer-daemon
gusta,1906,0.0,0.4,1258204,36096,?,Ssl,18:22,0:00,/usr/libexec/evolution-source-registry
gusta,2071,0.0,0.2,890884,21760,?,Ssl,18:22,0:00,/usr/libexec/evolution-calendar-factory
gusta,2092,0.0,0.3,751700,25600,?,Ssl,18:22,0:00,/usr/libexec/evolution-addressbook-factory
gusta,2121,0.0,0.0,49064,7168,?,Ss,18:22,0:00,/usr/libexec/bluetooth/obexd
gusta,2128,0.0,0.3,398456,31660,?,Sl,18:22,0:04,/usr/bin/python3 /usr/bin/blueman-tray
gusta,2240,0.0,0.1,535720,8192,?,Sl,18:22,0:00,/usr/libexec/gvfsd-trash --spawner :1.33 /org/gtk/gvfs/exec_spaw/1
gusta,2252,0.0,0.0,236376,6016,?,Ssl,18:22,0:00,/usr/libexec/gvfsd-metadata
gusta,2294,0.0,0.0,10860,3200,?,S,18:22,0:00,bash /home/gusta/.local/share/Steam/steam.sh
gusta,2447,0.0,0.0,24348,2560,?,S,18:22,0:00,/home/gusta/.local/share/Steam/ubuntu12_32/steam-runtime/usr/libexec/steam-runtime-tools-0/srt-logger --sh-syntax --rotate=8388608 --log-directory /home/gusta/.steam/steam/logs --filename console-linux.txt --log-fd=6 --parse-level-prefix
gusta,2474,7.7,1.2,860228,102508,?,Sl,18:22,6:25,/home/gusta/.local/share/Steam/ubuntu12_32/steam -srt-logger-opened
gusta,2490,0.0,0.1,563900,15288,?,Ssl,18:22,0:00,/usr/libexec/xdg-desktop-portal
gusta,2495,0.0,0.0,536568,6912,?,Ssl,18:22,0:00,/usr/libexec/xdg-document-portal
root,2501,0.0,0.0,2704,1920,?,Ss,18:22,0:00,"fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc"
gusta,2504,0.0,0.0,383788,6400,?,Ssl,18:22,0:00,/usr/libexec/xdg-desktop-portal-xapp
gusta,2513,0.0,0.2,524340,23804,?,Ssl,18:22,0:00,/usr/libexec/xdg-desktop-portal-gtk
gusta,2527,0.0,0.0,24340,2560,?,Ss,18:22,0:00,"/home/gusta/.local/share/Steam/ubuntu12_32/steam-runtime/amd64/usr/bin/steam-runtime-supervisor --exit-with-parent --subreaper --terminate-idle-timeout=1 --terminate-timeout=5 --lock-create --lock-verbose --lock-wait --lock-file /home/gusta/.local/share/Steam/ubuntu12_64/steam-runtime-sniper.lock -- /home/gusta/.local/share/Steam/ubuntu12_64/steam-runtime-sniper/_v2-entry-point -- /home/gusta/.local/share/Steam/ubuntu12_64/steamwebhelper_sniper_wrap.sh -lang=en_US -cachedir=/home/gusta/.local/share/Steam/config/htmlcache -steampid=2474 -buildid=1725654351 -steamid=0 -logdir=/home/gusta/.local/share/Steam/logs -uimode=7 -startcount=0 -userdatadir=/home/gusta/.local/share/Steam/config/cefdata -steamuniverse=Public -realm=Global -clientui=/home/gusta/.local/share/Steam/clientui -steampath=/home/gusta/.local/share/Steam/ubuntu12_32/steam -launcher=0 -use_safe_shutdown_workaround -use_xcomposite_workaround -no-restart-on-ui-mode-change --valve-enable-site-isolation --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --password-store=basic --log-file=/home/gusta/.local/share/Steam/logs/cef_log.txt --disable-quick-menu --disable-features=SpareRendererForSitePerProcess,DcheckIsFatal"
gusta,2539,0.0,0.0,24352,2560,?,S,18:22,0:00,/home/gusta/.local/share/Steam/ubuntu12_32/steam-runtime/usr/libexec/steam-runtime-tools-0/srt-logger --sh-syntax --rotate=8388608 --log-directory /home/gusta/.steam/steam/logs --filename webhelper-linux.txt --log-fd=6 --parse-level-prefix --journal-level=info
gusta,2554,0.0,0.0,4796,1664,?,S,18:22,0:00,"/home/gusta/.local/share/Steam/ubuntu12_64/steam-runtime-sniper/pressure-vessel/libexec/steam-runtime-tools-0/srt-bwrap --args 21 /usr/lib/pressure-vessel/from-host/bin/pressure-vessel-adverb --generate-locales --fd 11 --regenerate-ld.so-cache /var/pressure-vessel/ldso --add-ld.so-path /usr/lib/pressure-vessel/overrides/lib/x86_64-linux-gnu --add-ld.so-path /usr/lib/pressure-vessel/overrides/lib/i386-linux-gnu --set-ld-library-path /usr/lib/pressure-vessel/overrides/lib/x86_64-linux-gnu/aliases:/usr/lib/pressure-vessel/overrides/lib/i386-linux-gnu/aliases --overrides-path /usr/lib/pressure-vessel/overrides --exit-with-parent --subreaper --assign-fd=1=3 --assign-fd=2=4 --shell=none --terminal=none -- /home/gusta/.local/share/Steam/ubuntu12_64/steam-runtime-sniper/pressure-vessel/bin/steam-runtime-launcher-interface-0 container-runtime /home/gusta/.local/share/Steam/ubuntu12_64/steamwebhelper_sniper_wrap.sh -lang=en_US -cachedir=/home/gusta/.local/share/Steam/config/htmlcache -steampid=2474 -buildid=1725654351 -steamid=0 -logdir=/home/gusta/.local/share/Steam/logs -uimode=7 -startcount=0 -userdatadir=/home/gusta/.local/share/Steam/config/cefdata -steamuniverse=Public -realm=Global -clientui=/home/gusta/.local/share/Steam/clientui -steampath=/home/gusta/.local/share/Steam/ubuntu12_32/steam -launcher=0 -use_safe_shutdown_workaround -use_xcomposite_workaround -no-restart-on-ui-mode-change --valve-enable-site-isolation --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --password-store=basic --log-file=/home/gusta/.local/share/Steam/logs/cef_log.txt --disable-quick-menu --disable-features=SpareRendererForSitePerProcess,DcheckIsFatal"
gusta,2640,0.0,0.0,319452,3200,?,Sl,18:22,0:00,steam-runtime-launcher-service --alongside-steam
gusta,2702,0.0,0.0,29172,2048,?,Ss,18:22,0:00,"/usr/lib/pressure-vessel/from-host/bin/pressure-vessel-adverb --generate-locales --fd 11 --regenerate-ld.so-cache /var/pressure-vessel/ldso --add-ld.so-path /usr/lib/pressure-vessel/overrides/lib/x86_64-linux-gnu --add-ld.so-path /usr/lib/pressure-vessel/overrides/lib/i386-linux-gnu --set-ld-library-path /usr/lib/pressure-vessel/overrides/lib/x86_64-linux-gnu/aliases:/usr/lib/pressure-vessel/overrides/lib/i386-linux-gnu/aliases --overrides-path /usr/lib/pressure-vessel/overrides --exit-with-parent --subreaper --assign-fd=1=3 --assign-fd=2=4 --shell=none --terminal=none -- /home/gusta/.local/share/Steam/ubuntu12_64/steam-runtime-sniper/pressure-vessel/bin/steam-runtime-launcher-interface-0 container-runtime /home/gusta/.local/share/Steam/ubuntu12_64/steamwebhelper_sniper_wrap.sh -lang=en_US -cachedir=/home/gusta/.local/share/Steam/config/htmlcache -steampid=2474 -buildid=1725654351 -steamid=0 -logdir=/home/gusta/.local/share/Steam/logs -uimode=7 -startcount=0 -userdatadir=/home/gusta/.local/share/Steam/config/cefdata -steamuniverse=Public -realm=Global -clientui=/home/gusta/.local/share/Steam/clientui -steampath=/home/gusta/.local/share/Steam/ubuntu12_32/steam -launcher=0 -use_safe_shutdown_workaround -use_xcomposite_workaround -no-restart-on-ui-mode-change --valve-enable-site-isolation --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --password-store=basic --log-file=/home/gusta/.local/share/Steam/logs/cef_log.txt --disable-quick-menu --disable-features=SpareRendererForSitePerProcess,DcheckIsFatal"
gusta,2735,1.1,1.5,4448696,119644,?,Sl,18:22,0:58,"./steamwebhelper -lang=en_US -cachedir=/home/gusta/.local/share/Steam/config/htmlcache -steampid=2474 -buildid=1725654351 -steamid=0 -logdir=/home/gusta/.local/share/Steam/logs -uimode=7 -startcount=0 -userdatadir=/home/gusta/.local/share/Steam/config/cefdata -steamuniverse=Public -realm=Global -clientui=/home/gusta/.local/share/Steam/clientui -steampath=/home/gusta/.local/share/Steam/ubuntu12_32/steam -launcher=0 -use_safe_shutdown_workaround -use_xcomposite_workaround -no-restart-on-ui-mode-change --valve-enable-site-isolation --enable-smooth-scrolling --disable-gpu-compositing --disable-gpu --password-store=basic --log-file=/home/gusta/.local/share/Steam/logs/cef_log.txt --disable-quick-menu --disable-features=SpareRendererForSitePerProcess,DcheckIsFatal"
gusta,2738,0.0,0.1,394040,8704,?,Sl,18:22,0:00,/home/gusta/.local/share/Steam/ubuntu12_64/steamwebhelper --monitor-self-annotation=ptype=crashpad-handler --type=crashpad-handler --max-uploads=5 --max-db-size=20 --max-db-age=5 --database=/tmp/dumps --url=https://crash.steampowered.com/submit --annotation=lsb-release=Steam Runtime 3 (sniper) --annotation=platform=linux64 --annotation=product=cefwebhelper --annotation=version=1725654351 --initial-client-fd=7 --shared-client-connection
