USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,1,0.1,0.4,166704,8796,?,Ss,14:00,0:00,/sbin/init splash
root,2,0.0,0.0,0,0,?,S,14:00,0:00,[kthreadd]
root,3,0.0,0.0,0,0,?,I<,14:00,0:00,[rcu_gp]
root,4,0.0,0.0,0,0,?,I<,14:00,0:00,[rcu_par_gp]
root,5,0.0,0.0,0,0,?,I<,14:00,0:00,[slub_flushwq]
root,6,0.0,0.0,0,0,?,I<,14:00,0:00,[netns]
root,7,0.0,0.0,0,0,?,I,14:00,0:00,[kworker/0:0-events]
root,8,0.0,0.0,0,0,?,I<,14:00,0:00,[kworker/0:0H-kblockd]
root,10,0.0,0.0,0,0,?,I,14:00,0:00,[kworker/u2:0-writeback]
root,11,0.0,0.0,0,0,?,I<,14:00,0:00,[mm_percpu_wq]
root,12,0.0,0.0,0,0,?,I,14:00,0:00,[rcu_tasks_kthread]
root,13,0.0,0.0,0,0,?,I,14:00,0:00,[rcu_tasks_rude_kthread]
root,14,0.0,0.0,0,0,?,I,14:00,0:00,[rcu_tasks_trace_kthread]
root,15,0.0,0.0,0,0,?,S,14:00,0:00,[ksoftirqd/0]
root,16,0.2,0.0,0,0,?,I,14:00,0:01,[rcu_preempt]
root,17,0.0,0.0,0,0,?,S,14:00,0:00,[migration/0]
root,18,0.0,0.0,0,0,?,S,14:00,0:00,[idle_inject/0]
root,19,0.0,0.0,0,0,?,S,14:00,0:00,[cpuhp/0]
root,20,0.0,0.0,0,0,?,S,14:00,0:00,[kdevtmpfs]
root,21,0.0,0.0,0,0,?,I<,14:00,0:00,[inet_frag_wq]
root,22,0.0,0.0,0,0,?,S,14:00,0:00,[kauditd]
root,24,0.0,0.0,0,0,?,S,14:00,0:00,[khungtaskd]
root,25,0.0,0.0,0,0,?,S,14:00,0:00,[oom_reaper]
root,27,0.0,0.0,0,0,?,I<,14:00,0:00,[writeback]
root,28,0.0,0.0,0,0,?,S,14:00,0:00,[kcompactd0]
root,29,0.0,0.0,0,0,?,SN,14:00,0:00,[ksmd]
root,30,0.0,0.0,0,0,?,SN,14:00,0:00,[khugepaged]
root,31,0.0,0.0,0,0,?,I<,14:00,0:00,[kintegrityd]
root,32,0.0,0.0,0,0,?,I<,14:00,0:00,[kblockd]
root,33,0.0,0.0,0,0,?,I<,14:00,0:00,[blkcg_punt_bio]
root,34,0.0,0.0,0,0,?,I<,14:00,0:00,[tpm_dev_wq]
root,35,0.0,0.0,0,0,?,I<,14:00,0:00,[ata_sff]
root,36,0.0,0.0,0,0,?,I<,14:00,0:00,[md]
root,37,0.0,0.0,0,0,?,I<,14:00,0:00,[md_bitmap]
root,38,0.0,0.0,0,0,?,I<,14:00,0:00,[edac-poller]
root,39,0.0,0.0,0,0,?,I<,14:00,0:00,[devfreq_wq]
root,40,0.0,0.0,0,0,?,S,14:00,0:00,[watchdogd]
root,42,0.2,0.0,0,0,?,R,14:00,0:01,[kswapd0]
root,43,0.0,0.0,0,0,?,S,14:00,0:00,[ecryptfs-kthread]
root,44,0.0,0.0,0,0,?,I<,14:00,0:00,[kthrotld]
root,45,0.0,0.0,0,0,?,I<,14:00,0:00,[acpi_thermal_pm]
root,46,0.0,0.0,0,0,?,S,14:00,0:00,[scsi_eh_0]
root,47,0.0,0.0,0,0,?,I<,14:00,0:00,[scsi_tmf_0]
root,48,0.0,0.0,0,0,?,S,14:00,0:00,[scsi_eh_1]
root,49,0.0,0.0,0,0,?,I<,14:00,0:00,[scsi_tmf_1]
root,50,0.1,0.0,0,0,?,I,14:00,0:00,[kworker/u2:3-ext4-rsv-conversion]
root,51,0.0,0.0,0,0,?,I,14:00,0:00,[kworker/u2:4-writeback]
root,53,0.0,0.0,0,0,?,I<,14:00,0:00,[mld]
root,54,0.0,0.0,0,0,?,I<,14:00,0:00,[ipv6_addrconf]
root,56,0.0,0.0,0,0,?,I,14:00,0:00,[kworker/0:2-cgroup_destroy]
root,62,0.0,0.0,0,0,?,I<,14:00,0:00,[kstrp]
root,64,0.0,0.0,0,0,?,I<,14:00,0:00,[kworker/u3:0]
root,68,0.0,0.0,0,0,?,I<,14:00,0:00,[charger_manager]
root,108,0.0,0.0,0,0,?,S,14:00,0:00,[scsi_eh_2]
root,109,0.0,0.0,0,0,?,I<,14:00,0:00,[scsi_tmf_2]
root,116,0.0,0.0,0,0,?,I<,14:00,0:00,[kworker/0:2H-kblockd]
root,137,0.0,0.0,0,0,?,S,14:00,0:00,[jbd2/sda3-8]
root,138,0.0,0.0,0,0,?,I<,14:00,0:00,[ext4-rsv-conver]
root,177,0.0,0.6,48352,12804,?,S<s,14:00,0:00,/lib/systemd/systemd-journald
root,206,0.0,0.0,0,0,?,S,14:00,0:00,[irq/18-vmwgfx]
root,207,0.0,0.0,0,0,?,I<,14:00,0:00,[ttm]
root,221,0.0,0.1,26868,3712,?,Ss,14:00,0:00,/lib/systemd/systemd-udevd
root,308,0.0,0.0,0,0,?,I,14:00,0:00,[kworker/u2:6-events_power_efficient]
root,312,0.0,0.0,0,0,?,I<,14:00,0:00,[cryptd]
